Run,Array Size,Sorting Algorithm,Execution Time (ns),,,Sorting Algorithm,Median,Standard Deviation
19,5000,BubbleSortUntilNoChange,1474327471,,,,,
19,5000,BubbleSortWhileNeeded,1309276272,,,,,
19,10000,QuickSortGPT,5766195,,,,,
19,10000,SelectionSortGPT,859563409,,,,,
19,10000,BubbleSortUntilNoChange,2322950191,,,,,
19,10000,BubbleSortWhileNeeded,1886145693,,,,,
19,20000,QuickSortGPT,5080335,,,,,
19,20000,SelectionSortGPT,868177888,,,,,
19,20000,BubbleSortUntilNoChange,2202424267,,,,,
19,20000,BubbleSortWhileNeeded,2109234624,,,,,
20,100,QuickSortGPT,5766836,,,,,
20,100,SelectionSortGPT,957289,,,,,
20,100,BubbleSortUntilNoChange,1311529,,,,,
20,100,BubbleSortWhileNeeded,893173,,,,,
20,1000,QuickSortGPT,1986386,,,,,
20,1000,SelectionSortGPT,545909480,,,,,
20,1000,BubbleSortUntilNoChange,1547326604,,,,,
20,1000,BubbleSortWhileNeeded,439455910,,,,,
20,5000,QuickSortGPT,10359028,,,,,
20,5000,SelectionSortGPT,267590827,,,,,
20,5000,BubbleSortUntilNoChange,1659774776,,,,,
20,5000,BubbleSortWhileNeeded,2134618022,,,,,
20,10000,QuickSortGPT,11138906,,,,,
20,10000,SelectionSortGPT,417321762,,,,,
20,10000,BubbleSortUntilNoChange,930895681,,,,,
20,10000,BubbleSortWhileNeeded,2125395941,,,,,
20,20000,QuickSortGPT,9424626,,,,,
20,20000,SelectionSortGPT,258563392,,,,,
20,20000,BubbleSortUntilNoChange,2781052742,,,,,
20,20000,BubbleSortWhileNeeded,1275619324,,,,,
